Channel Index,Frame,Track ID,Steps, X (nm),Y (nm),Z (nm),Photon Count,Diffusion coeff. (um^2/s),Total Displacement,Duration (us)
1,16,44,38,36757.1,63524.5,0,1269.44,0.110057,0.461368,0
1,17,44,38,36639.6,63477.4,0,11866.8,0.110057,0.461368,0
1,18,44,38,36622.1,63501.5,0,2634.36,0.110057,0.461368,0
1,19,44,38,36687.9,63491.7,0,703.92,0.110057,0.461368,0
1,20,44,38,36705.8,63382.3,0,642.297,0.110057,0.461368,0
1,21,44,38,36725.8,63413,0,497.665,0.110057,0.461368,0
1,22,44,38,36728,63462.1,0,2015.7,0.110057,0.461368,0
1,23,44,38,36747.1,63494.3,0,547.915,0.110057,0.461368,0
1,24,44,38,36747.8,63483.3,0,923.013,0.110057,0.461368,0
1,25,44,38,36765.3,63417.1,0,10200.8,0.110057,0.461368,0
1,26,44,38,36671.1,63384.2,0,455.74,0.110057,0.461368,0
1,27,44,38,36755.7,63391.4,0,466.924,0.110057,0.461368,0
1,28,44,38,36609.2,63478,0,6914.44,0.110057,0.461368,0
1,29,44,38,36684.6,63478.4,0,1175.85,0.110057,0.461368,0
1,30,44,38,36695.7,63494.5,0,271.728,0.110057,0.461368,0
1,31,44,38,36720.6,63472.3,0,977.185,0.110057,0.461368,0
1,32,44,38,36717.1,63475.7,0,495.525,0.110057,0.461368,0
1,33,44,38,36699.4,63521.8,0,844.74,0.110057,0.461368,0
1,34,44,38,36609.8,63493.4,0,4210.24,0.110057,0.461368,0
1,35,44,38,36696.1,63486.6,0,5683.49,0.110057,0.461368,0
